# Step | Real Time [s] | Time [fs] | Epot/N [eV] | Ekin/N [eV] | T [K] | Etot/N [eV] | Density [g/cm^3] | Volume [A^3] | P [bar] | Pxx [bar] | Pyy [bar] | Pzz [bar] | Pyz [bar] | Pxz [bar] | Pxy [bar]
      2600 92.535       2600.00 -8.802e+00 8.152e-02 630.701 -8.720e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      2700 92.858       2700.00 -8.778e+00 5.808e-02 449.338 -8.720e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      2800 93.051       2800.00 -8.791e+00 7.092e-02 548.647 -8.720e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      2900 92.752       2900.00 -8.786e+00 6.642e-02 513.840 -8.720e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      3000 92.567       3000.00 -8.784e+00 6.426e-02 497.143 -8.720e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      3100 92.614       3100.00 -8.791e+00 7.099e-02 549.195 -8.720e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      3200 92.848       3200.00 -8.773e+00 5.316e-02 411.230 -8.720e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      3300 92.821       3300.00 -8.791e+00 7.146e-02 552.836 -8.720e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      3400 92.461       3400.00 -8.780e+00 6.054e-02 468.392 -8.720e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      3500 92.598       3500.00 -8.787e+00 6.743e-02 521.698 -8.720e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      3600 92.687       3600.00 -8.790e+00 6.986e-02 540.494 -8.720e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      3700 93.104       3700.00 -8.780e+00 5.985e-02 463.043 -8.720e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      3800 92.709       3800.00 -8.791e+00 7.106e-02 549.751 -8.720e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      3900 92.393       3900.00 -8.779e+00 5.930e-02 458.727 -8.720e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      4000 92.343       4000.00 -8.792e+00 7.243e-02 560.337 -8.720e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      4100 92.587       4100.00 -8.782e+00 6.223e-02 481.403 -8.720e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      4200 92.830       4200.00 -8.784e+00 6.376e-02 493.287 -8.720e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      4300 92.827       4300.00 -8.789e+00 6.887e-02 532.794 -8.720e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      4400 92.465       4400.00 -8.780e+00 6.087e-02 470.899 -8.720e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      4500 92.477       4500.00 -8.789e+00 6.981e-02 540.044 -8.720e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      4600 92.669       4600.00 -8.781e+00 6.079e-02 470.285 -8.720e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      4700 92.860       4700.00 -8.790e+00 7.017e-02 542.831 -8.720e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      4800 92.713       4800.00 -8.789e+00 6.927e-02 535.915 -8.720e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      4900 92.559       4900.00 -8.785e+00 6.517e-02 504.198 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      5000 92.516       5000.00 -8.790e+00 7.016e-02 542.818 -8.720e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      5100 91.517       5100.00 -8.780e+00 6.078e-02 470.194 -8.720e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      5200 81.681       5200.00 -8.786e+00 6.662e-02 515.423 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      5300 81.437       5300.00 -8.780e+00 6.096e-02 471.638 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      5400 81.268       5400.00 -8.783e+00 6.326e-02 489.381 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      5500 81.532       5500.00 -8.784e+00 6.459e-02 499.677 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      5600 81.632       5600.00 -8.781e+00 6.145e-02 475.370 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      5700 81.574       5700.00 -8.790e+00 7.025e-02 543.501 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      5800 81.305       5800.00 -8.779e+00 5.932e-02 458.951 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      5900 81.505       5900.00 -8.786e+00 6.643e-02 513.949 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      6000 81.719       6000.00 -8.782e+00 6.326e-02 489.427 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      6100 81.899       6100.00 -8.787e+00 6.771e-02 523.844 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      6200 81.678       6200.00 -8.786e+00 6.713e-02 519.339 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      6300 81.374       6300.00 -8.780e+00 6.116e-02 473.122 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      6400 81.530       6400.00 -8.789e+00 7.030e-02 543.890 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      6500 81.732       6500.00 -8.784e+00 6.539e-02 505.869 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      6600 81.584       6600.00 -8.785e+00 6.590e-02 509.803 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      6700 81.460       6700.00 -8.782e+00 6.261e-02 484.341 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      6800 81.559       6800.00 -8.789e+00 6.994e-02 541.068 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      6900 81.801       6900.00 -8.786e+00 6.754e-02 522.504 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      7000 81.900       7000.00 -8.782e+00 6.333e-02 489.929 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      7100 81.878       7100.00 -8.789e+00 6.980e-02 540.001 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      7200 81.410       7200.00 -8.775e+00 5.570e-02 430.884 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      7300 81.751       7300.00 -8.790e+00 7.073e-02 547.206 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      7400 81.642       7400.00 -8.782e+00 6.321e-02 489.016 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      7500 81.755       7500.00 -8.785e+00 6.592e-02 509.958 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      7600 81.438       7600.00 -8.785e+00 6.619e-02 512.100 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      7700 81.472       7700.00 -8.783e+00 6.436e-02 497.933 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      7800 81.507       7800.00 -8.788e+00 6.885e-02 532.623 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      7900 81.874       7900.00 -8.781e+00 6.193e-02 479.126 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      8000 81.786       8000.00 -8.782e+00 6.306e-02 487.881 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      8100 81.773       8100.00 -8.783e+00 6.410e-02 495.904 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      8200 81.579       8200.00 -8.789e+00 7.003e-02 541.796 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      8300 81.626       8300.00 -8.784e+00 6.458e-02 499.578 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      8400 81.901       8400.00 -8.787e+00 6.755e-02 522.578 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      8500 81.780       8500.00 -8.785e+00 6.600e-02 510.635 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      8600 81.599       8600.00 -8.784e+00 6.408e-02 495.724 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      8700 81.557       8700.00 -8.786e+00 6.629e-02 512.818 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      8800 81.768       8800.00 -8.784e+00 6.445e-02 498.601 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      8900 81.743       8900.00 -8.786e+00 6.626e-02 512.648 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      9000 81.570       9000.00 -8.781e+00 6.143e-02 475.252 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      9100 81.605       9100.00 -8.781e+00 6.168e-02 477.198 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      9200 81.637       9200.00 -8.784e+00 6.446e-02 498.715 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      9300 81.925       9300.00 -8.780e+00 6.070e-02 469.632 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      9400 81.761       9400.00 -8.786e+00 6.638e-02 513.540 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      9500 81.932       9500.00 -8.789e+00 6.918e-02 535.207 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      9600 81.632       9600.00 -8.785e+00 6.594e-02 510.120 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
      9700 81.814       9700.00 -8.784e+00 6.502e-02 503.005 -8.719e+00 0.000 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
